  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-08-23 19:26:10.467  
  Recording stop:   ;  2024-08-23 19:47:15.017  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:19.492  ;  60,02               ;  12,075             ;  0,15507             ;  0,67818            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:22.491  ;  60,02               ;  12,072             ;  0,15488             ;  0,67821            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:25.489  ;  60,02               ;  12,073             ;  0,15481             ;  0,67733            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:28.488  ;  60,02               ;  12,075             ;  0,15411             ;  0,67539            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:31.486  ;  60,03               ;  12,078             ;  0,15359             ;  0,67731            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:34.485  ;  60,03               ;  12,079             ;  0,15414             ;  0,67759            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:37.482  ;  60,03               ;  12,078             ;  0,15385             ;  0,67801            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:40.481  ;  60,03               ;  12,077             ;  0,15567             ;  0,67773            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:43.480  ;  60,03               ;  12,072             ;  0,15728             ;  0,67666            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:46.480  ;  60,03               ;  12,070             ;  0,15457             ;  0,67842            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:49.480  ;  60,03               ;  12,073             ;  0,15757             ;  0,67812            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:52.480  ;  60,01               ;  12,075             ;  0,15530             ;  0,67884            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:55.481  ;  60,01               ;  12,076             ;  0,15334             ;  0,67844            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:58.481  ;  60,01               ;  12,077             ;  0,15284             ;  0,67732            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:01.400  ;  60,00               ;  12,077             ;  0,15442             ;  0,67771            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:02.999  ;  59,99               ;  12,067             ;  0,15424             ;  0,67751            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:05.998  ;  59,99               ;  12,074             ;  0,15247             ;  0,68130            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:08.996  ;  59,99               ;  12,075             ;  0,15096             ;  0,67995            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:11.995  ;  60,02               ;  12,071             ;  0,15367             ;  0,68156            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:14.994  ;  60,03               ;  12,072             ;  0,15122             ;  0,68100            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:17.993  ;  60,03               ;  12,069             ;  0,14848             ;  0,67852            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:20.992  ;  60,02               ;  12,070             ;  0,15268             ;  0,67677            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:23.990  ;  60,02               ;  12,069             ;  0,15197             ;  0,67697            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:26.988  ;  60,02               ;  12,070             ;  0,15321             ;  0,67645            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:29.987  ;  60,02               ;  12,070             ;  0,15746             ;  0,67683            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:32.986  ;  60,03               ;  12,072             ;  0,15341             ;  0,67847            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:35.986  ;  60,03               ;  12,070             ;  0,15221             ;  0,67723            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:38.985  ;  60,03               ;  12,070             ;  0,15128             ;  0,67703            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:41.985  ;  60,02               ;  12,069             ;  0,15295             ;  0,67603            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:44.985  ;  60,01               ;  12,072             ;  0,15325             ;  0,67647            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:47.984  ;  60,01               ;  12,070             ;  0,15464             ;  0,67686            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:50.985  ;  60,01               ;  12,072             ;  0,15437             ;  0,67580            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:53.985  ;  60,00               ;  12,076             ;  0,15490             ;  0,67792            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:56.985  ;  60,00               ;  12,076             ;  0,15799             ;  0,67819            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:30:59.986  ;  60,00               ;  12,077             ;  0,15726             ;  0,68255            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:02.985  ;  59,99               ;  12,075             ;  0,16168             ;  0,68299            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:05.985  ;  59,99               ;  12,071             ;  0,16280             ;  0,68160            
