  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-10-22 19:07:04.787  
  Recording stop:   ;  2024-10-22 19:22:02.953  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *L2 avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:11:09.001  ;  59.98               ;  12.466             ;  0.66169             ;  0.35370             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:11:12.002  ;  59.98               ;  12.468             ;  0.66169             ;  0.35505             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:11:15.004  ;  59.98               ;  12.465             ;  0.66284             ;  0.35508             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:11:18.005  ;  59.98               ;  12.467             ;  0.66108             ;  0.35423             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:11:21.005  ;  59.98               ;  12.473             ;  0.65918             ;  0.35318             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:11:24.006  ;  59.98               ;  12.468             ;  0.65941             ;  0.35473             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:11:27.006  ;  59.98               ;  12.468             ;  0.66074             ;  0.35535             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:11:30.006  ;  59.98               ;  12.468             ;  0.66069             ;  0.35081             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:11:33.007  ;  59.99               ;  12.463             ;  0.66338             ;  0.35260             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:11:36.007  ;  59.99               ;  12.466             ;  0.66086             ;  0.35489             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:11:39.007  ;  59.99               ;  12.463             ;  0.66394             ;  0.35378             
