  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-06-21 20:06:27.953  
  Recording stop:   ;  2024-06-21 20:26:32.970  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  U N-PE avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:29.991  ;  60,02               ;  12,345             ;  26,014               ;  0,77738             ;  0,26708            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:32.991  ;  60,02               ;  12,343             ;  26,010               ;  0,77788             ;  0,26765            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:35.990  ;  60,02               ;  12,343             ;  26,015               ;  0,77952             ;  0,26604            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:38.989  ;  60,02               ;  12,344             ;  26,013               ;  0,77689             ;  0,26441            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:41.988  ;  60,02               ;  12,341             ;  26,007               ;  0,77835             ;  0,26775            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:44.987  ;  60,02               ;  12,340             ;  26,007               ;  0,77747             ;  0,26562            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:47.986  ;  60,02               ;  12,339             ;  26,054               ;  0,77930             ;  0,26637            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:50.986  ;  60,02               ;  12,343             ;  26,063               ;  0,77893             ;  0,26578            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:53.986  ;  60,01               ;  12,338             ;  26,059               ;  0,77773             ;  0,26449            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:56.986  ;  60,01               ;  12,341             ;  26,062               ;  0,77984             ;  0,26535            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:59.986  ;  60,01               ;  12,339             ;  26,055               ;  0,77702             ;  0,26469            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:02.987  ;  60,00               ;  12,327             ;  26,031               ;  0,77771             ;  0,26610            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:05.987  ;  60,00               ;  12,330             ;  26,040               ;  0,77802             ;  0,26498            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:08.987  ;  60,00               ;  12,332             ;  26,044               ;  0,77736             ;  0,26595            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:11.987  ;  60,00               ;  12,326             ;  26,030               ;  0,77753             ;  0,26545            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:14.986  ;  59,99               ;  12,327             ;  26,037               ;  0,77749             ;  0,26298            
