  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-10-11 19:59:02.586  
  Recording stop:   ;  2024-10-11 20:13:59.975  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:05.981  ;  59.99               ;  12.407             ;  0.58885             ;  0.31951            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:08.981  ;  59.99               ;  12.405             ;  0.58620             ;  0.31947            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:11.981  ;  59.99               ;  12.406             ;  0.58759             ;  0.31859            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:14.981  ;  59.99               ;  12.414             ;  0.58798             ;  0.31919            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:17.981  ;  59.99               ;  12.414             ;  0.58882             ;  0.32150            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:20.981  ;  60.00               ;  12.412             ;  0.58832             ;  0.32066            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:23.981  ;  60.00               ;  12.412             ;  0.59033             ;  0.32025            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:26.981  ;  60.00               ;  12.413             ;  0.59008             ;  0.31883            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:29.983  ;  60.00               ;  12.415             ;  0.59106             ;  0.32057            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:32.984  ;  59.99               ;  12.412             ;  0.58818             ;  0.32009            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:35.986  ;  59.99               ;  12.417             ;  0.58968             ;  0.32106            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:38.988  ;  59.99               ;  12.418             ;  0.58705             ;  0.32009            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:41.991  ;  59.97               ;  12.417             ;  0.58752             ;  0.31939            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:44.992  ;  59.96               ;  12.421             ;  0.58926             ;  0.31949            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:47.994  ;  59.96               ;  12.420             ;  0.58834             ;  0.32047            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:50.996  ;  59.96               ;  12.420             ;  0.58827             ;  0.32276            
