"","Frecuencia","TVSec(V)","ISec(A)","Iprim(A)","TNucleoSup","TDevPrim","TDevSec","Tambiente","V_In","Estado"
"163",60.03,12.17,0.67736,0.22499,28.25,25.5,25.12,24.75,119.9,"Bueno"
"164",60.03,12.167,0.67534,0.22382,28.25,25.44,25.12,24.75,119.9,"Bueno"
"165",60.03,12.168,0.67486,0.22514,28.31,25.44,25.12,24.75,119.9,"Bueno"
"166",60.02,12.165,0.67573,0.22374,28.31,25.5,25.19,24.69,119.9,"Bueno"
"167",60.02,12.168,0.67552,0.22481,28.31,25.5,25.19,24.69,119.9,"Bueno"
"168",60.02,12.174,0.67541,0.22428,28.31,25.5,25.19,24.69,119.9,"Bueno"
"169",60.02,12.178,0.67448,0.22417,28.31,25.44,25.19,24.75,119.9,"Bueno"
"170",60.02,12.176,0.67519,0.22439,28.37,25.5,25.12,24.69,119.9,"Bueno"
"171",60.01,12.174,0.67424,0.22492,28.37,25.5,25.12,24.69,119.9,"Bueno"
"172",60,12.174,0.67454,0.22537,28.37,25.5,25.19,24.69,119.9,"Bueno"
"173",60,12.175,0.6763,0.22384,28.44,25.5,25.12,24.75,119.9,"Bueno"
"174",60,12.178,0.67583,0.22541,28.44,25.5,25.19,24.75,119.9,"Bueno"
"175",60,12.179,0.67614,0.22396,28.44,25.56,25.12,24.69,119.9,"Bueno"
"176",59.99,12.179,0.67613,0.22493,28.44,25.5,25.12,24.75,119.9,"Bueno"
"177",59.99,12.184,0.67641,0.22542,28.5,25.5,25.19,24.69,119.9,"Bueno"
"178",60,12.182,0.67524,0.22519,28.5,25.56,25.19,24.69,119.9,"Bueno"
"179",60.01,12.183,0.67642,0.22513,28.5,25.5,25.12,24.69,119.9,"Bueno"
"180",60.01,12.18,0.67696,0.22538,28.5,25.5,25.12,24.69,119.9,"Bueno"
"181",60.01,12.182,0.67463,0.22565,28.56,25.5,25.12,24.69,119.9,"Bueno"
"182",60.02,12.18,0.6761,0.22538,28.56,25.56,25.19,24.69,119.9,"Bueno"
"183",60.02,12.18,0.67636,0.22574,28.56,25.5,25.12,24.69,119.9,"Bueno"
"184",60.02,12.181,0.67739,0.22511,28.56,25.56,25.12,24.69,119.9,"Bueno"
"185",60.01,12.181,0.67596,0.22546,28.56,25.56,25.12,24.75,119.9,"Bueno"
"186",60.01,12.183,0.67511,0.22666,28.62,25.56,25.19,24.69,119.9,"Bueno"
"187",60.01,12.181,0.67648,0.22466,28.62,25.56,25.12,24.75,119.9,"Bueno"
"188",60.02,12.183,0.67736,0.22615,28.62,25.56,25.12,24.69,119.9,"Bueno"
"189",60.02,12.184,0.67756,0.22464,28.62,25.56,25.19,24.69,119.9,"Bueno"
"190",60.02,12.182,0.67614,0.22364,28.69,25.56,25.19,24.69,119.9,"Bueno"
"191",60.02,12.182,0.67625,0.22447,28.69,25.56,25.12,24.69,119.9,"Bueno"
"192",60.03,12.182,0.67613,0.2253,28.69,25.56,25.19,24.69,119.9,"Bueno"
